"MutantVarietyID","Variety Name","Local Name","Local Registration Year","Local Registration Number","Local Registration Agency","National Registration Number","National Registration Agency","Latin Name","Common Name","Country Name","Short Description","Miscellaneous","Character Improvement Details","Registration","PropagationModeType","UsageSubcategory","MutantDevelopmentType","Intellectual Property","Mutagen Treatment Type","Physical Mutagen","Chemical Mutagen","Treatment Material Type","Continent Name"
"4925","Ion-no-Kousai","","","","Institute of Radiation breeding, NIAS","22634","Institute of Radiation Breeding, NIAS","Fagopyrum tataricum (L.) Gaertn.","Buckwheat","Japan","It was developed by Institute of Radiation Breeding, NIAS through Helium ion beam irradiations to seeds of ""Rotundatum"" at Japan Atomic Energy Agency (JAEA) (Takasaki). Main induced attribute of mutant variety is semi-dwarfness.","Mutagen source(s): He-Ion-Beam at JAEA Takasaki","This variety has shorter stems and yellow flower colour","2013","Seed - Open-pollinating","Cereals","Direct development of an induced mutant","","","","","","Asia"
"3400","Ion-no-Mahou","","2003","","","14571","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Chrysanthemum L.","Chrysanthemum","Japan","The mutant variety Ion-no-Mahou was officialy approved in 2003. It was developed by irradiation of in vitro culture (leaf segment culture) with 25 Gy Ne ion beams. Main improved attribute of mutant variety is altered flower color (light orange on adaxial, dark yellow orange on abaxial side).","","Altered flower color (light orange on adaxial, dark yellow orange on abaxial side)","2006","Vegetative - Suckers","Flowers","Direct development of an induced mutant","","Physical","Ion beams","","Vegetative propagates","Asia"
"3397","Ion-no-Reimei","","2003","","","15093","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Chrysanthemum L.","Chrysanthemum","Japan","","","","2006","Vegetative - Suckers","Flowers","","","","","","","Asia"
"3396","Ion-no-Seikou","","2003","","","14568","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Chrysanthemum L.","Chrysanthemum","Japan","","","","2006","Vegetative - Suckers","Flowers","","","","","","","Asia"
"3012","Ippon-jime","","1993","Niigata sake 28 gou","Niigata Agricultural Research Institute","4172","Ministry of Agriculture, Forestry and Fisheries (MAFF)","Oryza sativa L.","Rice","Japan","The mutant variety Ippon-jime was officially approved in 1994. It was developed by hybridization with mutant variety Houhai induced by gamma rays. Main improved attributes of mutant variety are good quality and suitable for sake brewing.","","Good quality and suitable for sake brewing","1994","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays","","Seed","Asia"
"336","IR-1","","1978","","","","","Corchorus olitorius L.","Tossa jute","India","The mutant variety IR-1 was officialy approved in 1978. It was developed by irradiation with chronic gamma rays (100 Gy). Main improved attributes of mutant variety are plant vigour and fibre yield.","","Plant vigour and fibre yield","1978","Seed - Self pollination","Fibre crop","Direct development of an induced mutant","","","Gamma rays - chronic","","","Asia"
"906","IRAT  13","","1978","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 13 was officially approved in 1978. It was developed by irradiation with chronic gamma rays. Main improved attributes of mutant variety are short culm and resistance to lodging.","","Short culm and resistance to lodging","1978","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays - chronic","","","Africa"
"907","IRAT 101","","1976","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 101 was officially approved in 1976. It was developed by irradiation of seeds with chronic gamma rays (250-300 Gy). Main improved attributes of mutant variety are good adaptability, higher TGW, shorter culm and shorter leaves.","","Good adaptability, higher TGW, shorter culm and shorter leaves","1976","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays - chronic","","Seed","Africa"
"911","IRAT 104","","1983","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 104 was officially approved in 1983. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attributes of mutant variety are higher height than IRAT 13 and high yield.","","Higher plant height and high yield","1983","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"914","IRAT 109","","1978","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 109 was officially approved in 1978. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attributes of mutant variety are high yield, early maturity, high tillering and plant height (130 cm).","","High yield, early maturity, high tillering and plant height (130 cm)","1978","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"915","IRAT 110","","1978","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 110 was officially approved in 1978. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attributes of mutant variety are good grain shape and high yield.","","Good grain shape and high yield","1978","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"491","IRAT 112","","1983","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 112 was officially approved in 1983. It was developed by hybridization with mutant variety IRAT 13 obtained by irradiation with chronic gamma rays. Main improved attributes of mutant variety are higher tillering and early maturity.","","Higher tillering and early maturity","1983","Seed - Self pollination","Cereals","Crossing with one mutant variety","","Physical","Gamma rays - chronic","","","Africa"
"488","IRAT 113","","1979","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 113 was officially approved in 1979. It was developed by irradiation of seeds with chronic gamma rays (250-300 Gy). Main improved attributes of mutant variety are shorter plant height (120 cm), late maturity (130 days) and very little shattering.","","Shorter plant height (120 cm), late maturity (130 days) and very little shattering","1979","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays - chronic","","Seed","Africa"
"478","IRAT 114","","1979","","","","","Oryza sativa L.","Rice","Cote D'Ivoire","The mutant variety IRAT 114 was officially approved in 1979. It was developed by irradiation of seeds with chronic gamma rays (250-300 Gy). Main improved attributes of mutant variety are plant height reduced from 130-150cm to 100-120 cm, late maturity, very little shattering.","","Reduced plant height from 130-150cm to 100-120 cm, late maturity and very little shattering","1979","Seed - Self pollination","Cereals","Direct development of an induced mutant","","Physical","Gamma rays - chronic","","Seed","Africa"
